Ibaloi_word,Pronunciation,POS,English_word,Ibaloi_synonyms,Ibaloi_sentence,English_sentence,Notes,isNew
a-adok,ah-AH-dok,av,"patiently, persuasively","adok, adohen",A-adok ja inmesel si Sarah.,Sarah spoke in a patient persuasive manner.,in a patient persuasive manner,FALSE
a-aki,ah-AH-khee,n,"relatives, family, kin",,Sinmabi a-aki to.,His/Her relatives came.,,FALSE
a-anak,ah-ah-NAK,n,children,,Man-ay-ayam eray a-anak shi pa-dok.,The kids are playing at the river.,,FALSE
a-ngem,AH-nguhm,conj,but,ngem,Owen a-ngem,"Yes, but",,FALSE
a-teg-tegan,ah-tuhg-tuhg-AN,v,"crushed, flattened, pressed down",,A-teg-tegan e sedik ni nakas ja keyow.,My foot was crushed by the fallen wood.,,TRUE
aanak,ah-ah-NAK,n,children,,Man-ay-ayam eray a-anak shi pa-dok.,The kids are playing at the river.,,TRUE
aba,AH-bah,n,taro,gabi,Eshakel e inda min aba.,We gathered many taro roots.,,FALSE
abada,ah-BAH-dah,n,shoulder,,Ensakit e abadak ni saksakbat.,My shoulders are aching from the carrying.,,FALSE
abak,ah-BAK,n,loss,,Binmunget sikato ni abak to.,The loss from his gambling made him angry.,,FALSE
abal-abal,ah-BAL-ah-BAL,n,beetle,,Shakel i abal-abal shi payo.,There are many beetle in the field,,FALSE
abang,ah-BANG,v,"embrace, hug",,Inabang tos nanang to.,She gave her mother an embrace.,,FALSE
abante,ah-BAN-teh,v,go forward,,Inabante toy dugan.,He moved the car forward.,,FALSE
abat,ah-BAT,,,,,,,FALSE
abolan,ah-boh-LAN,n,hut,calapao,,,used for shade and as a lookout for rice birds in the fields,FALSE
aburido,ah-boo-REE-doh,adj,"worried, fretful, fussy",,,,,FALSE
addak,AD-dahk,n,"liquor, wine",ufo,,,,FALSE
adibay,,,entertain;,,,,,TRUE
adigat,,,,,,,,TRUE
adirong,ah-DEE-rong,n,shadow,,,,,FALSE
